"Participant"	"Affiliation_institution_Brazilian_state"	"Area_of_study"	"Institution"	"Movement_ecology_group_in_institution"	"Works_with_movement"	"When_started_to_work_with_movement"	"Type_of_research"	"Taxon"	"Biome_standardized"	"Level_study"	"Components_mov_ecology_framework"	"Techonology_used"	"Challenges"
73	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2013	"Theoretical/Applied"	"BIRDS/MAMMALS"	"Cerrado"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"GPS Telemetry, Accelerometer"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados"
74	"SP"	"Ecology/Zoology"	"Unesp RC/Departamento de Zoologia"	"Yes"	"Yes"	1/4/2015	"Applied"	"MAMMALS/PLANTS"	"Atlantic Forest"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"GPS Telemetry, VHF Telemetry"	"Burocráticos, Tecnológicos, Análise de dados"
75	"BA"	"Ecology"	"UESC"	"No"	"Yes"	1/6/2015	"Applied"	"MAMMALS"	"Atlantic Forest"	"Individual"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"VHF Telemetry"	"Análise de dados"
76	"SP"	"Ecology/Zoology"		"Yes"	"Yes"	1/10/2014	"Theoretical/Applied"	"MAMMALS"	"Multiple"	"Individual/Population/Community"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"GPS Telemetry, Mark Recapture"	"Burocráticos, Financeiros, Análise de dados"
77	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
78	"SP"	"Ecology/Biology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2014	"Applied"	"BIRDS"	"Atlantic Forest"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Burocráticos, Financeiros, Tecnológicos"
79	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"SP"	"Oceanography"	"USP/ Instituto Oceanografico"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
81	"SP"	"Zoology"	"Unesp RC"	"No"	"Yes"	4/5/2015	"Applied"	"FISH"	"Marine"	"Population"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Financeiros, Tecnológicos, Análise de dados"
82	"SP"	"Ecology/Zoology"	"USP Esalq/Cenap/ICMBio"	"No"	"Yes"	1/3/2014	"Applied"	"MAMMALS"	"Cerrado"	"Population"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Financeiros, Tecnológicos, Análise de dados"
